Step,avid-valley-27 - FID Score,avid-valley-27 - FID Score__MIN,avid-valley-27 - FID Score__MAX,desert-dew-26 - FID Score,desert-dew-26 - FID Score__MIN,desert-dew-26 - FID Score__MAX,fresh-tree-25 - FID Score,fresh-tree-25 - FID Score__MIN,fresh-tree-25 - FID Score__MAX,wild-valley-24 - FID Score,wild-valley-24 - FID Score__MIN,wild-valley-24 - FID Score__MAX,eternal-star-23 - FID Score,eternal-star-23 - FID Score__MIN,eternal-star-23 - FID Score__MAX,denim-flower-17 - FID Score,denim-flower-17 - FID Score__MIN,denim-flower-17 - FID Score__MAX,feasible-glitter-14 - FID Score,feasible-glitter-14 - FID Score__MIN,feasible-glitter-14 - FID Score__MAX,rare-dragon-13 - FID Score,rare-dragon-13 - FID Score__MIN,rare-dragon-13 - FID Score__MAX,rural-hill-12 - FID Score,rural-hill-12 - FID Score__MIN,rural-hill-12 - FID Score__MAX,clean-elevator-11 - FID Score,clean-elevator-11 - FID Score__MIN,clean-elevator-11 - FID Score__MAX
35,47.831086747085656,47.831086747085656,47.831086747085656,53.36852968281944,53.36852968281944,53.36852968281944,52.05674397328577,52.05674397328577,52.05674397328577,47.25986457808912,47.25986457808912,47.25986457808912,48.91966767078904,48.91966767078904,48.91966767078904,51.239126160427716,51.239126160427716,51.239126160427716,51.85558065496528,51.85558065496528,51.85558065496528,52.93803689191462,52.93803689191462,52.93803689191462,53.29351169142909,53.29351169142909,53.29351169142909,55.03387572837334,55.03387572837334,55.03387572837334
36,51.89569708201539,51.89569708201539,51.89569708201539,50.61257643645352,50.61257643645352,50.61257643645352,55.18799614582372,55.18799614582372,55.18799614582372,52.37249230232512,52.37249230232512,52.37249230232512,49.37737625996338,49.37737625996338,49.37737625996338,53.81897845058036,53.81897845058036,53.81897845058036,56.0599018716247,56.0599018716247,56.0599018716247,47.12323472466106,47.12323472466106,47.12323472466106,56.494741162544315,56.494741162544315,56.494741162544315,50.725036329345066,50.725036329345066,50.725036329345066
37,50.44105391264568,50.44105391264568,50.44105391264568,51.41560430000918,51.41560430000918,51.41560430000918,59.423307518949535,59.423307518949535,59.423307518949535,52.249738945406854,52.249738945406854,52.249738945406854,51.45272416100089,51.45272416100089,51.45272416100089,51.317287158871714,51.317287158871714,51.317287158871714,49.894242346957995,49.894242346957995,49.894242346957995,48.798551610586856,48.798551610586856,48.798551610586856,57.34864157716869,57.34864157716869,57.34864157716869,57.75684280566516,57.75684280566516,57.75684280566516
38,48.29519226519741,48.29519226519741,48.29519226519741,50.719681333398526,50.719681333398526,50.719681333398526,53.60465488592374,53.60465488592374,53.60465488592374,49.63958641211686,49.63958641211686,49.63958641211686,50.02581250035081,50.02581250035081,50.02581250035081,52.68321329947833,52.68321329947833,52.68321329947833,56.0954140950393,56.0954140950393,56.0954140950393,55.80089817678726,55.80089817678726,55.80089817678726,54.86070301393775,54.86070301393775,54.86070301393775,52.23049007523835,52.23049007523835,52.23049007523835
39,49.006982898851334,49.006982898851334,49.006982898851334,51.850628639223586,51.850628639223586,51.850628639223586,49.90835007420169,49.90835007420169,49.90835007420169,56.9309001382142,56.9309001382142,56.9309001382142,50.645258506817314,50.645258506817314,50.645258506817314,52.72038300011441,52.72038300011441,52.72038300011441,52.408342223574905,52.408342223574905,52.408342223574905,52.50774044628345,52.50774044628345,52.50774044628345,58.98076720343849,58.98076720343849,58.98076720343849,51.848550710186814,51.848550710186814,51.848550710186814
40,50.42962506001051,50.42962506001051,50.42962506001051,51.330849448207815,51.330849448207815,51.330849448207815,52.696257383829995,52.696257383829995,52.696257383829995,49.165267107028484,49.165267107028484,49.165267107028484,48.30887337860547,48.30887337860547,48.30887337860547,56.5477176731802,56.5477176731802,56.5477176731802,53.542791747232684,53.542791747232684,53.542791747232684,50.89677451232778,50.89677451232778,50.89677451232778,53.06783128801229,53.06783128801229,53.06783128801229,47.934347149933934,47.934347149933934,47.934347149933934
41,48.48687220518116,48.48687220518116,48.48687220518116,54.81495023471396,54.81495023471396,54.81495023471396,52.0441712625136,52.0441712625136,52.0441712625136,54.46536007882165,54.46536007882165,54.46536007882165,51.77148991108138,51.77148991108138,51.77148991108138,51.17716391739833,51.17716391739833,51.17716391739833,50.26372994256029,50.26372994256029,50.26372994256029,49.63145624773496,49.63145624773496,49.63145624773496,51.14256327517588,51.14256327517588,51.14256327517588,55.871708434205246,55.871708434205246,55.871708434205246
42,52.47561053969789,52.47561053969789,52.47561053969789,49.1661822700641,49.1661822700641,49.1661822700641,49.608765595231816,49.608765595231816,49.608765595231816,49.317310554525164,49.317310554525164,49.317310554525164,50.10234882898577,50.10234882898577,50.10234882898577,51.499789374858075,51.499789374858075,51.499789374858075,51.75865678086203,51.75865678086203,51.75865678086203,49.743618722991016,49.743618722991016,49.743618722991016,53.881493783338925,53.881493783338925,53.881493783338925,53.69590404191398,53.69590404191398,53.69590404191398
43,52.51494243880237,52.51494243880237,52.51494243880237,49.32686689345083,49.32686689345083,49.32686689345083,49.27153847508023,49.27153847508023,49.27153847508023,51.38864104092043,51.38864104092043,51.38864104092043,56.705362259814805,56.705362259814805,56.705362259814805,55.603403449716666,55.603403449716666,55.603403449716666,49.687168575375,49.687168575375,49.687168575375,56.66675887587872,56.66675887587872,56.66675887587872,52.06873054536063,52.06873054536063,52.06873054536063,53.72724228574128,53.72724228574128,53.72724228574128
44,49.86767736650061,49.86767736650061,49.86767736650061,58.243730257070204,58.243730257070204,58.243730257070204,49.12383225998576,49.12383225998576,49.12383225998576,48.6858879157578,48.6858879157578,48.6858879157578,51.58558006527477,51.58558006527477,51.58558006527477,52.91322901791736,52.91322901791736,52.91322901791736,53.356438656440915,53.356438656440915,53.356438656440915,50.04886885008844,50.04886885008844,50.04886885008844,57.22766113881471,57.22766113881471,57.22766113881471,49.6097033678124,49.6097033678124,49.6097033678124
