Step,denim-morning-29 - FID Score,denim-morning-29 - FID Score__MIN,denim-morning-29 - FID Score__MAX,expert-terrain-28 - FID Score,expert-terrain-28 - FID Score__MIN,expert-terrain-28 - FID Score__MAX,sunny-thunder-27 - FID Score,sunny-thunder-27 - FID Score__MIN,sunny-thunder-27 - FID Score__MAX,misty-field-26 - FID Score,misty-field-26 - FID Score__MIN,misty-field-26 - FID Score__MAX,prime-totem-25 - FID Score,prime-totem-25 - FID Score__MIN,prime-totem-25 - FID Score__MAX,misunderstood-moon-24 - FID Score,misunderstood-moon-24 - FID Score__MIN,misunderstood-moon-24 - FID Score__MAX,misunderstood-tree-23 - FID Score,misunderstood-tree-23 - FID Score__MIN,misunderstood-tree-23 - FID Score__MAX,prime-music-22 - FID Score,prime-music-22 - FID Score__MIN,prime-music-22 - FID Score__MAX,legendary-surf-21 - FID Score,legendary-surf-21 - FID Score__MIN,legendary-surf-21 - FID Score__MAX,clean-sponge-20 - FID Score,clean-sponge-20 - FID Score__MIN,clean-sponge-20 - FID Score__MAX
32,34.05696009845874,34.05696009845874,34.05696009845874,30.574420488398122,30.574420488398122,30.574420488398122,30.83604714390817,30.83604714390817,30.83604714390817,39.74890069307433,39.74890069307433,39.74890069307433,30.13547072068999,30.13547072068999,30.13547072068999,30.104078258890475,30.104078258890475,30.104078258890475,32.44808307986244,32.44808307986244,32.44808307986244,26.332741045267397,26.332741045267397,26.332741045267397,32.50314783458991,32.50314783458991,32.50314783458991,33.15630377407989,33.15630377407989,33.15630377407989
33,32.35002842441559,32.35002842441559,32.35002842441559,31.405106934002436,31.405106934002436,31.405106934002436,34.28773502048627,34.28773502048627,34.28773502048627,32.89304715629482,32.89304715629482,32.89304715629482,32.44990783652231,32.44990783652231,32.44990783652231,32.79661328388677,32.79661328388677,32.79661328388677,31.41432595030289,31.41432595030289,31.41432595030289,29.04976448886798,29.04976448886798,29.04976448886798,38.99867923040828,38.99867923040828,38.99867923040828,30.933061619497217,30.933061619497217,30.933061619497217
34,36.2387688120797,36.2387688120797,36.2387688120797,39.337758735898134,39.337758735898134,39.337758735898134,31.353849388013778,31.353849388013778,31.353849388013778,27.907326616441782,27.907326616441782,27.907326616441782,36.56895476999728,36.56895476999728,36.56895476999728,31.167190888850712,31.167190888850712,31.167190888850712,30.26010321415714,30.26010321415714,30.26010321415714,29.201679056679282,29.201679056679282,29.201679056679282,36.06285247229792,36.06285247229792,36.06285247229792,29.194109755813223,29.194109755813223,29.194109755813223
35,34.80443873267621,34.80443873267621,34.80443873267621,36.11767415536556,36.11767415536556,36.11767415536556,31.93308169376459,31.93308169376459,31.93308169376459,30.84827099732558,30.84827099732558,30.84827099732558,37.10967127447842,37.10967127447842,37.10967127447842,32.956254524451,32.956254524451,32.956254524451,30.219555985008824,30.219555985008824,30.219555985008824,28.85676399471606,28.85676399471606,28.85676399471606,36.28653679594883,36.28653679594883,36.28653679594883,34.592229786731906,34.592229786731906,34.592229786731906
36,34.35165064118793,34.35165064118793,34.35165064118793,34.827017490028325,34.827017490028325,34.827017490028325,32.50873315801839,32.50873315801839,32.50873315801839,32.20963454542353,32.20963454542353,32.20963454542353,29.938982809840606,29.938982809840606,29.938982809840606,31.11101181517177,31.11101181517177,31.11101181517177,28.07313505114278,28.07313505114278,28.07313505114278,31.610523455599377,31.610523455599377,31.610523455599377,33.43288080877308,33.43288080877308,33.43288080877308,29.070904550511543,29.070904550511543,29.070904550511543
37,34.03490552739619,34.03490552739619,34.03490552739619,37.73493490512734,37.73493490512734,37.73493490512734,41.77928135688625,41.77928135688625,41.77928135688625,33.23504712972745,33.23504712972745,33.23504712972745,30.873640781365754,30.873640781365754,30.873640781365754,27.955383292472874,27.955383292472874,27.955383292472874,27.826225930943593,27.826225930943593,27.826225930943593,35.70570712837423,35.70570712837423,35.70570712837423,34.28540818420511,34.28540818420511,34.28540818420511,35.690127742227624,35.690127742227624,35.690127742227624
38,32.149365046825636,32.149365046825636,32.149365046825636,34.66204906164563,34.66204906164563,34.66204906164563,32.729137003649555,32.729137003649555,32.729137003649555,32.58122708981159,32.58122708981159,32.58122708981159,28.649256963092572,28.649256963092572,28.649256963092572,25.388796211212657,25.388796211212657,25.388796211212657,32.30693275194459,32.30693275194459,32.30693275194459,31.088807997421995,31.088807997421995,31.088807997421995,30.64185423674126,30.64185423674126,30.64185423674126,36.022911109926376,36.022911109926376,36.022911109926376
39,32.464267738889184,32.464267738889184,32.464267738889184,40.605269946833786,40.605269946833786,40.605269946833786,35.19581797203159,35.19581797203159,35.19581797203159,32.171407330548696,32.171407330548696,32.171407330548696,30.259262475847347,30.259262475847347,30.259262475847347,28.18374331916438,28.18374331916438,28.18374331916438,27.20884459767067,27.20884459767067,27.20884459767067,29.798945182382177,29.798945182382177,29.798945182382177,29.80432037052717,29.80432037052717,29.80432037052717,35.92183822512076,35.92183822512076,35.92183822512076
40,28.52276014953692,28.52276014953692,28.52276014953692,31.975650896485746,31.975650896485746,31.975650896485746,32.15281541497443,32.15281541497443,32.15281541497443,32.51730871776225,32.51730871776225,32.51730871776225,35.18049013416412,35.18049013416412,35.18049013416412,27.35239694438801,27.35239694438801,27.35239694438801,35.191699007806506,35.191699007806506,35.191699007806506,33.84206812158529,33.84206812158529,33.84206812158529,33.22591732112359,33.22591732112359,33.22591732112359,34.201209848922396,34.201209848922396,34.201209848922396
41,28.388114326403787,28.388114326403787,28.388114326403787,32.721180946027644,32.721180946027644,32.721180946027644,29.73365795631087,29.73365795631087,29.73365795631087,28.56118477256878,28.56118477256878,28.56118477256878,31.507818468075804,31.507818468075804,31.507818468075804,29.08423996678284,29.08423996678284,29.08423996678284,33.30303117580339,33.30303117580339,33.30303117580339,34.869830799640326,34.869830799640326,34.869830799640326,28.946651298390027,28.946651298390027,28.946651298390027,29.661268160828843,29.661268160828843,29.661268160828843
