"Step","ruby-donkey-21 - FID Score","ruby-donkey-21 - FID Score__MIN","ruby-donkey-21 - FID Score__MAX","misunderstood-plant-20 - FID Score","misunderstood-plant-20 - FID Score__MIN","misunderstood-plant-20 - FID Score__MAX","fresh-morning-19 - FID Score","fresh-morning-19 - FID Score__MIN","fresh-morning-19 - FID Score__MAX","sunny-grass-18 - FID Score","sunny-grass-18 - FID Score__MIN","sunny-grass-18 - FID Score__MAX","lemon-grass-17 - FID Score","lemon-grass-17 - FID Score__MIN","lemon-grass-17 - FID Score__MAX","wandering-hill-16 - FID Score","wandering-hill-16 - FID Score__MIN","wandering-hill-16 - FID Score__MAX","swept-rain-15 - FID Score","swept-rain-15 - FID Score__MIN","swept-rain-15 - FID Score__MAX","cosmic-forest-14 - FID Score","cosmic-forest-14 - FID Score__MIN","cosmic-forest-14 - FID Score__MAX","misty-smoke-13 - FID Score","misty-smoke-13 - FID Score__MIN","misty-smoke-13 - FID Score__MAX","earnest-plant-12 - FID Score","earnest-plant-12 - FID Score__MIN","earnest-plant-12 - FID Score__MAX"
"30","14.70516097759694","14.70516097759694","14.70516097759694","16.156704762362754","16.156704762362754","16.156704762362754","15.142923365767205","15.142923365767205","15.142923365767205","14.830063601738095","14.830063601738095","14.830063601738095","14.079996084627682","14.079996084627682","14.079996084627682","13.960119372564154","13.960119372564154","13.960119372564154","13.189085982800055","13.189085982800055","13.189085982800055","14.39769690331276","14.39769690331276","14.39769690331276","13.703121166935338","13.703121166935338","13.703121166935338","14.725522186070464","14.725522186070464","14.725522186070464"
"31","14.63801620713679","14.63801620713679","14.63801620713679","14.65962489103485","14.65962489103485","14.65962489103485","14.38000472701408","14.38000472701408","14.38000472701408","15.996764489805278","15.996764489805278","15.996764489805278","14.591839235454326","14.591839235454326","14.591839235454326","14.55227810251877","14.55227810251877","14.55227810251877","14.390192782268151","14.390192782268151","14.390192782268151","14.971820270439775","14.971820270439775","14.971820270439775","14.30597570091717","14.30597570091717","14.30597570091717","15.462218141068334","15.462218141068334","15.462218141068334"
"32","14.123244115399487","14.123244115399487","14.123244115399487","14.535205421356515","14.535205421356515","14.535205421356515","13.504469683455161","13.504469683455161","13.504469683455161","13.969484998720013","13.969484998720013","13.969484998720013","15.245914572074874","15.245914572074874","15.245914572074874","13.709616507047636","13.709616507047636","13.709616507047636","15.022652404423281","15.022652404423281","15.022652404423281","15.693042599793127","15.693042599793127","15.693042599793127","14.177510680039545","14.177510680039545","14.177510680039545","14.66994892117729","14.66994892117729","14.66994892117729"
"33","14.588816380236358","14.588816380236358","14.588816380236358","15.323988729557026","15.323988729557026","15.323988729557026","13.810296320881037","13.810296320881037","13.810296320881037","15.137546179237376","15.137546179237376","15.137546179237376","14.64976853471936","14.64976853471936","14.64976853471936","15.240384665423566","15.240384665423566","15.240384665423566","14.94137202541015","14.94137202541015","14.94137202541015","14.75803741186086","14.75803741186086","14.75803741186086","14.948296546094234","14.948296546094234","14.948296546094234","15.507044755705051","15.507044755705051","15.507044755705051"
"34","15.181057270966043","15.181057270966043","15.181057270966043","14.6329494726499","14.6329494726499","14.6329494726499","14.90804073182474","14.90804073182474","14.90804073182474","16.17131846507143","16.17131846507143","16.17131846507143","16.11391367834503","16.11391367834503","16.11391367834503","13.879773812100153","13.879773812100153","13.879773812100153","14.080627371347045","14.080627371347045","14.080627371347045","14.198935456009709","14.198935456009709","14.198935456009709","15.065121193180936","15.065121193180936","15.065121193180936","14.932419436530129","14.932419436530129","14.932419436530129"
"35","15.361136712754147","15.361136712754147","15.361136712754147","15.123952298918532","15.123952298918532","15.123952298918532","14.012613703064194","14.012613703064194","14.012613703064194","14.432041135491882","14.432041135491882","14.432041135491882","15.078681022203881","15.078681022203881","15.078681022203881","14.40751731654768","14.40751731654768","14.40751731654768","14.417905566080677","14.417905566080677","14.417905566080677","14.306892366164574","14.306892366164574","14.306892366164574","14.456954370056359","14.456954370056359","14.456954370056359","14.669628372216298","14.669628372216298","14.669628372216298"
"36","15.076997718175019","15.076997718175019","15.076997718175019","14.834340366870004","14.834340366870004","14.834340366870004","14.46128876306394","14.46128876306394","14.46128876306394","15.757496131852037","15.757496131852037","15.757496131852037","14.995206155708427","14.995206155708427","14.995206155708427","14.222627939781374","14.222627939781374","14.222627939781374","13.36004976760594","13.36004976760594","13.36004976760594","15.736544413394116","15.736544413394116","15.736544413394116","14.465379208105258","14.465379208105258","14.465379208105258","14.664960796711723","14.664960796711723","14.664960796711723"
"37","13.837619549203776","13.837619549203776","13.837619549203776","14.657291580642521","14.657291580642521","14.657291580642521","14.103611287894271","14.103611287894271","14.103611287894271","14.646706036265183","14.646706036265183","14.646706036265183","15.22695620635753","15.22695620635753","15.22695620635753","15.5686828505187","15.5686828505187","15.5686828505187","14.335369603177622","14.335369603177622","14.335369603177622","18.186422341310703","18.186422341310703","18.186422341310703","14.483500061892629","14.483500061892629","14.483500061892629","16.9276476783851","16.9276476783851","16.9276476783851"
"38","15.6102657277447","15.6102657277447","15.6102657277447","15.658293943016934","15.658293943016934","15.658293943016934","15.034843835826873","15.034843835826873","15.034843835826873","15.970507228959796","15.970507228959796","15.970507228959796","14.721463121529085","14.721463121529085","14.721463121529085","15.210559776240164","15.210559776240164","15.210559776240164","14.502680876496825","14.502680876496825","14.502680876496825","13.85289872582841","13.85289872582841","13.85289872582841","14.441907321267331","14.441907321267331","14.441907321267331","14.161597954991816","14.161597954991816","14.161597954991816"
"39","14.90883413750357","14.90883413750357","14.90883413750357","14.56341515607679","14.56341515607679","14.56341515607679","14.70761363993852","14.70761363993852","14.70761363993852","15.295664519638898","15.295664519638898","15.295664519638898","16.012136536379796","16.012136536379796","16.012136536379796","16.567000194665603","16.567000194665603","16.567000194665603","13.558619676473864","13.558619676473864","13.558619676473864","16.679288026704068","16.679288026704068","16.679288026704068","15.611793516550799","15.611793516550799","15.611793516550799","16.526744777171977","16.526744777171977","16.526744777171977"
