Step,dark-lake-52 - FID Score,dark-lake-52 - FID Score__MIN,dark-lake-52 - FID Score__MAX,usual-river-51 - FID Score,usual-river-51 - FID Score__MIN,usual-river-51 - FID Score__MAX,deep-dew-50 - FID Score,deep-dew-50 - FID Score__MIN,deep-dew-50 - FID Score__MAX,unique-wind-49 - FID Score,unique-wind-49 - FID Score__MIN,unique-wind-49 - FID Score__MAX,flowing-yogurt-48 - FID Score,flowing-yogurt-48 - FID Score__MIN,flowing-yogurt-48 - FID Score__MAX,effortless-durian-47 - FID Score,effortless-durian-47 - FID Score__MIN,effortless-durian-47 - FID Score__MAX,fallen-lion-46 - FID Score,fallen-lion-46 - FID Score__MIN,fallen-lion-46 - FID Score__MAX,efficient-flower-45 - FID Score,efficient-flower-45 - FID Score__MIN,efficient-flower-45 - FID Score__MAX,major-eon-44 - FID Score,major-eon-44 - FID Score__MIN,major-eon-44 - FID Score__MAX,frosty-glade-43 - FID Score,frosty-glade-43 - FID Score__MIN,frosty-glade-43 - FID Score__MAX
32,19.832150391973236,19.832150391973236,19.832150391973236,21.361329402075576,21.361329402075576,21.361329402075576,20.900764713828927,20.900764713828927,20.900764713828927,20.979473378004563,20.979473378004563,20.979473378004563,18.186832720614156,18.186832720614156,18.186832720614156,19.4969798214276,19.4969798214276,19.4969798214276,19.853779087642927,19.853779087642927,19.853779087642927,22.262131511503,22.262131511503,22.262131511503,19.635214241803652,19.635214241803652,19.635214241803652,23.64293395609127,23.64293395609127,23.64293395609127
33,19.703382827566337,19.703382827566337,19.703382827566337,21.129530788334556,21.129530788334556,21.129530788334556,19.48916352638844,19.48916352638844,19.48916352638844,19.450049271854702,19.450049271854702,19.450049271854702,19.327281552688014,19.327281552688014,19.327281552688014,19.425680971086926,19.425680971086926,19.425680971086926,18.54778497147233,18.54778497147233,18.54778497147233,22.946546940149055,22.946546940149055,22.946546940149055,23.987378759327083,23.987378759327083,23.987378759327083,20.875410822413645,20.875410822413645,20.875410822413645
34,22.14977555323179,22.14977555323179,22.14977555323179,22.64515522065316,22.64515522065316,22.64515522065316,19.878281298298738,19.878281298298738,19.878281298298738,21.76031204791287,21.76031204791287,21.76031204791287,22.028465939218655,22.028465939218655,22.028465939218655,21.556594458450984,21.556594458450984,21.556594458450984,21.91321112870992,21.91321112870992,21.91321112870992,21.776981723912122,21.776981723912122,21.776981723912122,20.250747977080973,20.250747977080973,20.250747977080973,21.8826041743416,21.8826041743416,21.8826041743416
35,22.402041274405317,22.402041274405317,22.402041274405317,19.692677300525553,19.692677300525553,19.692677300525553,21.250132329994358,21.250132329994358,21.250132329994358,19.89299416656585,19.89299416656585,19.89299416656585,18.198654383101314,18.198654383101314,18.198654383101314,20.767152200920513,20.767152200920513,20.767152200920513,21.86945349003664,21.86945349003664,21.86945349003664,20.21445174882591,20.21445174882591,20.21445174882591,20.345946792978438,20.345946792978438,20.345946792978438,19.649882296629013,19.649882296629013,19.649882296629013
36,20.111488778531893,20.111488778531893,20.111488778531893,20.103642611467073,20.103642611467073,20.103642611467073,21.57709781309286,21.57709781309286,21.57709781309286,19.295600815925013,19.295600815925013,19.295600815925013,19.1250344274049,19.1250344274049,19.1250344274049,19.343263448855037,19.343263448855037,19.343263448855037,22.7330011816713,22.7330011816713,22.7330011816713,19.959511417586057,19.959511417586057,19.959511417586057,19.990216415210334,19.990216415210334,19.990216415210334,20.746841565695107,20.746841565695107,20.746841565695107
37,20.901345988329258,20.901345988329258,20.901345988329258,21.091822466405443,21.091822466405443,21.091822466405443,18.42886080205492,18.42886080205492,18.42886080205492,20.335897518217788,20.335897518217788,20.335897518217788,19.61511365773842,19.61511365773842,19.61511365773842,18.360046491340228,18.360046491340228,18.360046491340228,20.238173147848556,20.238173147848556,20.238173147848556,20.427274134304596,20.427274134304596,20.427274134304596,18.674158606324628,18.674158606324628,18.674158606324628,19.900234026744123,19.900234026744123,19.900234026744123
38,19.96098995482055,19.96098995482055,19.96098995482055,18.919335613113773,18.919335613113773,18.919335613113773,19.590626188475056,19.590626188475056,19.590626188475056,19.47387911720892,19.47387911720892,19.47387911720892,18.62102461146646,18.62102461146646,18.62102461146646,21.006032728808695,21.006032728808695,21.006032728808695,22.337983607737055,22.337983607737055,22.337983607737055,22.061830848152574,22.061830848152574,22.061830848152574,21.697631092305755,21.697631092305755,21.697631092305755,22.253581410498775,22.253581410498775,22.253581410498775
39,20.438855691361557,20.438855691361557,20.438855691361557,20.070103177735835,20.070103177735835,20.070103177735835,20.047545923808872,20.047545923808872,20.047545923808872,19.063464880991678,19.063464880991678,19.063464880991678,21.979358518334635,21.979358518334635,21.979358518334635,19.12328922199035,19.12328922199035,19.12328922199035,22.18803526831081,22.18803526831081,22.18803526831081,19.585030158294813,19.585030158294813,19.585030158294813,21.114033512857585,21.114033512857585,21.114033512857585,19.06439340880889,19.06439340880889,19.06439340880889
40,21.234505902625315,21.234505902625315,21.234505902625315,21.278378982789796,21.278378982789796,21.278378982789796,21.067475088820267,21.067475088820267,21.067475088820267,20.22410866333261,20.22410866333261,20.22410866333261,20.474514181483478,20.474514181483478,20.474514181483478,19.307865789009124,19.307865789009124,19.307865789009124,18.00401429556498,18.00401429556498,18.00401429556498,20.12093371580063,20.12093371580063,20.12093371580063,20.679381293976363,20.679381293976363,20.679381293976363,22.123391861416344,22.123391861416344,22.123391861416344
41,18.833231869314098,18.833231869314098,18.833231869314098,20.938796000925876,20.938796000925876,20.938796000925876,20.193455229284382,20.193455229284382,20.193455229284382,20.030739935779017,20.030739935779017,20.030739935779017,18.44975747347013,18.44975747347013,18.44975747347013,19.212351383878804,19.212351383878804,19.212351383878804,20.577399994432596,20.577399994432596,20.577399994432596,20.438816228169603,20.438816228169603,20.438816228169603,20.699114709304638,20.699114709304638,20.699114709304638,20.97120511608979,20.97120511608979,20.97120511608979
42,21.600257332245462,21.600257332245462,21.600257332245462,22.31907454220741,22.31907454220741,22.31907454220741,18.787295718512052,18.787295718512052,18.787295718512052,19.706604667486353,19.706604667486353,19.706604667486353,20.448905997712256,20.448905997712256,20.448905997712256,19.790112092980532,19.790112092980532,19.790112092980532,20.32002003711052,20.32002003711052,20.32002003711052,21.17892203806339,21.17892203806339,21.17892203806339,20.90239667566916,20.90239667566916,20.90239667566916,23.0085244663717,23.0085244663717,23.0085244663717
43,19.045091652167805,19.045091652167805,19.045091652167805,20.602760069514563,20.602760069514563,20.602760069514563,20.5534332739026,20.5534332739026,20.5534332739026,19.882479851959324,19.882479851959324,19.882479851959324,23.426944708130723,23.426944708130723,23.426944708130723,22.770624576116614,22.770624576116614,22.770624576116614,20.743092987380734,20.743092987380734,20.743092987380734,20.261779165178353,20.261779165178353,20.261779165178353,22.02153826118787,22.02153826118787,22.02153826118787,18.305096563814477,18.305096563814477,18.305096563814477
44,22.481821295670642,22.481821295670642,22.481821295670642,20.30459731697227,20.30459731697227,20.30459731697227,19.020052257830457,19.020052257830457,19.020052257830457,18.697107765455662,18.697107765455662,18.697107765455662,21.098714287277033,21.098714287277033,21.098714287277033,19.968031452415538,19.968031452415538,19.968031452415538,20.40232384247733,20.40232384247733,20.40232384247733,21.519051927610967,21.519051927610967,21.519051927610967,19.52585798365864,19.52585798365864,19.52585798365864,20.926911264245014,20.926911264245014,20.926911264245014
45,20.57831603244844,20.57831603244844,20.57831603244844,20.266469479984718,20.266469479984718,20.266469479984718,20.26665953253532,20.26665953253532,20.26665953253532,20.858736553204146,20.858736553204146,20.858736553204146,18.67280440728235,18.67280440728235,18.67280440728235,20.209978839730283,20.209978839730283,20.209978839730283,20.625471128784085,20.625471128784085,20.625471128784085,21.551469057447044,21.551469057447044,21.551469057447044,21.202173785876987,21.202173785876987,21.202173785876987,21.76109846311135,21.76109846311135,21.76109846311135
46,24.348469160861285,24.348469160861285,24.348469160861285,19.476259833382368,19.476259833382368,19.476259833382368,19.542714901141906,19.542714901141906,19.542714901141906,20.31721792684856,20.31721792684856,20.31721792684856,19.18416917755209,19.18416917755209,19.18416917755209,19.05072009267746,19.05072009267746,19.05072009267746,19.67659574585233,19.67659574585233,19.67659574585233,20.522362372049347,20.522362372049347,20.522362372049347,19.945533681651703,19.945533681651703,19.945533681651703,21.53590072837096,21.53590072837096,21.53590072837096
47,21.633408012017995,21.633408012017995,21.633408012017995,21.120251384415994,21.120251384415994,21.120251384415994,19.349248532199102,19.349248532199102,19.349248532199102,20.07749973370015,20.07749973370015,20.07749973370015,22.54953983492397,22.54953983492397,22.54953983492397,19.24101452433355,19.24101452433355,19.24101452433355,20.75905921143145,20.75905921143145,20.75905921143145,19.267139645750255,19.267139645750255,19.267139645750255,21.51478649991714,21.51478649991714,21.51478649991714,19.31299477584282,19.31299477584282,19.31299477584282
48,20.156715866899013,20.156715866899013,20.156715866899013,20.452761575357023,20.452761575357023,20.452761575357023,20.711491862031057,20.711491862031057,20.711491862031057,18.286570737667386,18.286570737667386,18.286570737667386,20.07543078092543,20.07543078092543,20.07543078092543,20.27055053390834,20.27055053390834,20.27055053390834,21.595305958830163,21.595305958830163,21.595305958830163,21.38329068326542,21.38329068326542,21.38329068326542,19.90426248032691,19.90426248032691,19.90426248032691,19.269847130026132,19.269847130026132,19.269847130026132
