Step,elated-aardvark-15 - FID Score,elated-aardvark-15 - FID Score__MIN,elated-aardvark-15 - FID Score__MAX,true-spaceship-14 - FID Score,true-spaceship-14 - FID Score__MIN,true-spaceship-14 - FID Score__MAX,quiet-firebrand-13 - FID Score,quiet-firebrand-13 - FID Score__MIN,quiet-firebrand-13 - FID Score__MAX,proud-spaceship-12 - FID Score,proud-spaceship-12 - FID Score__MIN,proud-spaceship-12 - FID Score__MAX,vivid-water-11 - FID Score,vivid-water-11 - FID Score__MIN,vivid-water-11 - FID Score__MAX,deep-wave-10 - FID Score,deep-wave-10 - FID Score__MIN,deep-wave-10 - FID Score__MAX,exalted-dew-8 - FID Score,exalted-dew-8 - FID Score__MIN,exalted-dew-8 - FID Score__MAX,woven-donkey-4 - FID Score,woven-donkey-4 - FID Score__MIN,woven-donkey-4 - FID Score__MAX,hardy-dawn-3 - FID Score,hardy-dawn-3 - FID Score__MIN,hardy-dawn-3 - FID Score__MAX,classic-salad-2 - FID Score,classic-salad-2 - FID Score__MIN,classic-salad-2 - FID Score__MAX
33,52.444273881348025,52.444273881348025,52.444273881348025,53.908121749911885,53.908121749911885,53.908121749911885,60.46581187666762,60.46581187666762,60.46581187666762,59.45968545661191,59.45968545661191,59.45968545661191,55.62353778414497,55.62353778414497,55.62353778414497,56.79831567023205,56.79831567023205,56.79831567023205,54.20540343489358,54.20540343489358,54.20540343489358,60.71991688945822,60.71991688945822,60.71991688945822,56.47435830093269,56.47435830093269,56.47435830093269,52.10929650225185,52.10929650225185,52.10929650225185
34,59.82824398536971,59.82824398536971,59.82824398536971,54.60984557934235,54.60984557934235,54.60984557934235,53.083547036089286,53.083547036089286,53.083547036089286,52.81975334133675,52.81975334133675,52.81975334133675,56.85355161399073,56.85355161399073,56.85355161399073,53.71700271253666,53.71700271253666,53.71700271253666,49.88859758843474,49.88859758843474,49.88859758843474,51.74038822482011,51.74038822482011,51.74038822482011,50.203653763521956,50.203653763521956,50.203653763521956,55.443343501010276,55.443343501010276,55.443343501010276
35,58.195629545767574,58.195629545767574,58.195629545767574,52.05061586641903,52.05061586641903,52.05061586641903,56.52310860914314,56.52310860914314,56.52310860914314,55.578361251059945,55.578361251059945,55.578361251059945,56.5283243855302,56.5283243855302,56.5283243855302,52.435626657199315,52.435626657199315,52.435626657199315,58.125933516812324,58.125933516812324,58.125933516812324,55.653803219237986,55.653803219237986,55.653803219237986,59.110328867153086,59.110328867153086,59.110328867153086,57.57558280439253,57.57558280439253,57.57558280439253
36,58.34703769918198,58.34703769918198,58.34703769918198,58.99961572323768,58.99961572323768,58.99961572323768,56.5973115910784,56.5973115910784,56.5973115910784,64.75811955770813,64.75811955770813,64.75811955770813,54.907514997958785,54.907514997958785,54.907514997958785,54.50990399059649,54.50990399059649,54.50990399059649,52.00260631384501,52.00260631384501,52.00260631384501,53.60096257125737,53.60096257125737,53.60096257125737,65.7233517397322,65.7233517397322,65.7233517397322,52.88070878970603,52.88070878970603,52.88070878970603
37,55.56261526750447,55.56261526750447,55.56261526750447,55.848212157054746,55.848212157054746,55.848212157054746,52.83382895731316,52.83382895731316,52.83382895731316,58.99241536850655,58.99241536850655,58.99241536850655,64.05956466496411,64.05956466496411,64.05956466496411,58.99652079472877,58.99652079472877,58.99652079472877,55.40749457492379,55.40749457492379,55.40749457492379,53.3362075831033,53.3362075831033,53.3362075831033,60.526481965253126,60.526481965253126,60.526481965253126,60.94371547507871,60.94371547507871,60.94371547507871
38,52.66051630054184,52.66051630054184,52.66051630054184,55.60331367123452,55.60331367123452,55.60331367123452,58.966443051784374,58.966443051784374,58.966443051784374,56.01589825448188,56.01589825448188,56.01589825448188,59.964682486985815,59.964682486985815,59.964682486985815,62.36090383142479,62.36090383142479,62.36090383142479,51.97099931087969,51.97099931087969,51.97099931087969,55.19000218668366,55.19000218668366,55.19000218668366,68.14114382707574,68.14114382707574,68.14114382707574,96.92641875439185,96.92641875439185,96.92641875439185
39,54.96884112184014,54.96884112184014,54.96884112184014,57.64925524372383,57.64925524372383,57.64925524372383,53.733603354869516,53.733603354869516,53.733603354869516,52.002997573354484,52.002997573354484,52.002997573354484,51.31162498871336,51.31162498871336,51.31162498871336,54.81914862948449,54.81914862948449,54.81914862948449,50.59289240886079,50.59289240886079,50.59289240886079,57.92061925373331,57.92061925373331,57.92061925373331,58.56387086264027,58.56387086264027,58.56387086264027,57.43315870005304,57.43315870005304,57.43315870005304
40,53.81200636532534,53.81200636532534,53.81200636532534,56.86912263016175,56.86912263016175,56.86912263016175,55.67125728545402,55.67125728545402,55.67125728545402,56.38537522646989,56.38537522646989,56.38537522646989,55.058690156780486,55.058690156780486,55.058690156780486,56.18294919306453,56.18294919306453,56.18294919306453,54.09527570612235,54.09527570612235,54.09527570612235,66.098130670871,66.098130670871,66.098130670871,58.799180060491146,58.799180060491146,58.799180060491146,62.29857226373339,62.29857226373339,62.29857226373339
41,53.9954716475433,53.9954716475433,53.9954716475433,61.096964927095534,61.096964927095534,61.096964927095534,52.745736219826775,52.745736219826775,52.745736219826775,54.463037535326364,54.463037535326364,54.463037535326364,54.39575258829177,54.39575258829177,54.39575258829177,55.63476673180163,55.63476673180163,55.63476673180163,49.120531069391944,49.120531069391944,49.120531069391944,53.50667928868262,53.50667928868262,53.50667928868262,55.16931676121634,55.16931676121634,55.16931676121634,54.692884993170296,54.692884993170296,54.692884993170296
42,59.673606179349306,59.673606179349306,59.673606179349306,62.093512004116,62.093512004116,62.093512004116,58.0577373783697,58.0577373783697,58.0577373783697,55.43534868191,55.43534868191,55.43534868191,56.06847088760012,56.06847088760012,56.06847088760012,50.58418405301681,50.58418405301681,50.58418405301681,54.15342606544207,54.15342606544207,54.15342606544207,50.809664975348674,50.809664975348674,50.809664975348674,53.135076781576636,53.135076781576636,53.135076781576636,52.2034588574644,52.2034588574644,52.2034588574644
43,54.41322739985875,54.41322739985875,54.41322739985875,52.63233137574655,52.63233137574655,52.63233137574655,55.43789825232024,55.43789825232024,55.43789825232024,57.992846563520146,57.992846563520146,57.992846563520146,51.8809035273565,51.8809035273565,51.8809035273565,53.64949211499972,53.64949211499972,53.64949211499972,51.839653298188054,51.839653298188054,51.839653298188054,53.223383033308096,53.223383033308096,53.223383033308096,52.65386752779203,52.65386752779203,52.65386752779203,54.303746005853355,54.303746005853355,54.303746005853355
44,53.093382166407565,53.093382166407565,53.093382166407565,55.015294488088685,55.015294488088685,55.015294488088685,53.70298523089511,53.70298523089511,53.70298523089511,57.320539866406236,57.320539866406236,57.320539866406236,58.30424559142563,58.30424559142563,58.30424559142563,55.59981103504866,55.59981103504866,55.59981103504866,54.383159752387556,54.383159752387556,54.383159752387556,52.7532217552159,52.7532217552159,52.7532217552159,53.835629422055604,53.835629422055604,53.835629422055604,53.47986215041371,53.47986215041371,53.47986215041371
45,60.249551641181455,60.249551641181455,60.249551641181455,55.01922164864636,55.01922164864636,55.01922164864636,57.68925361547696,57.68925361547696,57.68925361547696,58.08756020462087,58.08756020462087,58.08756020462087,53.78777177629794,53.78777177629794,53.78777177629794,60.98371060633669,60.98371060633669,60.98371060633669,57.63183770128488,57.63183770128488,57.63183770128488,54.53926240285099,54.53926240285099,54.53926240285099,53.580577189625956,53.580577189625956,53.580577189625956,50.79834975260652,50.79834975260652,50.79834975260652
46,55.617986410397116,55.617986410397116,55.617986410397116,54.63963803154037,54.63963803154037,54.63963803154037,52.05052768640162,52.05052768640162,52.05052768640162,56.05464096391066,56.05464096391066,56.05464096391066,56.76587864784333,56.76587864784333,56.76587864784333,51.76009859660164,51.76009859660164,51.76009859660164,56.088595343572116,56.088595343572116,56.088595343572116,56.57956694911173,56.57956694911173,56.57956694911173,53.2342782983783,53.2342782983783,53.2342782983783,62.65846497903586,62.65846497903586,62.65846497903586
47,56.874868051670205,56.874868051670205,56.874868051670205,55.054164631224836,55.054164631224836,55.054164631224836,57.33622232354954,57.33622232354954,57.33622232354954,58.47318299283073,58.47318299283073,58.47318299283073,59.86838759805116,59.86838759805116,59.86838759805116,53.2815221512964,53.2815221512964,53.2815221512964,60.9721400040016,60.9721400040016,60.9721400040016,53.90772099401569,53.90772099401569,53.90772099401569,52.57368446449845,52.57368446449845,52.57368446449845,53.61788119110486,53.61788119110486,53.61788119110486
48,60.18970338881073,60.18970338881073,60.18970338881073,52.73162859602913,52.73162859602913,52.73162859602913,62.9067661609208,62.9067661609208,62.9067661609208,56.07432670879659,56.07432670879659,56.07432670879659,53.93976496811305,53.93976496811305,53.93976496811305,60.216196087939,60.216196087939,60.216196087939,55.82865848673339,55.82865848673339,55.82865848673339,55.83804359249765,55.83804359249765,55.83804359249765,60.42339615193694,60.42339615193694,60.42339615193694,56.08032409240107,56.08032409240107,56.08032409240107
