Step,crisp-monkey-10 - FID Score,crisp-monkey-10 - FID Score__MIN,crisp-monkey-10 - FID Score__MAX,ethereal-firefly-9 - FID Score,ethereal-firefly-9 - FID Score__MIN,ethereal-firefly-9 - FID Score__MAX,smart-river-8 - FID Score,smart-river-8 - FID Score__MIN,smart-river-8 - FID Score__MAX,charmed-snow-7 - FID Score,charmed-snow-7 - FID Score__MIN,charmed-snow-7 - FID Score__MAX,iconic-rain-6 - FID Score,iconic-rain-6 - FID Score__MIN,iconic-rain-6 - FID Score__MAX,leafy-smoke-5 - FID Score,leafy-smoke-5 - FID Score__MIN,leafy-smoke-5 - FID Score__MAX,youthful-firefly-4 - FID Score,youthful-firefly-4 - FID Score__MIN,youthful-firefly-4 - FID Score__MAX,expert-haze-3 - FID Score,expert-haze-3 - FID Score__MIN,expert-haze-3 - FID Score__MAX,desert-disco-2 - FID Score,desert-disco-2 - FID Score__MIN,desert-disco-2 - FID Score__MAX,charmed-blaze-1 - FID Score,charmed-blaze-1 - FID Score__MIN,charmed-blaze-1 - FID Score__MAX
30,76.46680576220643,76.46680576220643,76.46680576220643,76.40606735941907,76.40606735941907,76.40606735941907,74.72057747347526,74.72057747347526,74.72057747347526,76.72563143924813,76.72563143924813,76.72563143924813,78.72712235127038,78.72712235127038,78.72712235127038,76.86928706836864,76.86928706836864,76.86928706836864,76.03834821168226,76.03834821168226,76.03834821168226,79.63460866658914,79.63460866658914,79.63460866658914,78.40345683164627,78.40345683164627,78.40345683164627,78.20714183097834,78.20714183097834,78.20714183097834
31,75.67105892935925,75.67105892935925,75.67105892935925,78.3166418112915,78.3166418112915,78.3166418112915,80.76132037844094,80.76132037844094,80.76132037844094,77.41968181137582,77.41968181137582,77.41968181137582,74.51993041214863,74.51993041214863,74.51993041214863,78.66843067644001,78.66843067644001,78.66843067644001,74.42736824911687,74.42736824911687,74.42736824911687,77.46565936892408,77.46565936892408,77.46565936892408,76.15655586017179,76.15655586017179,76.15655586017179,74.88473122541359,74.88473122541359,74.88473122541359
32,77.9454696580126,77.9454696580126,77.9454696580126,76.82824593146532,76.82824593146532,76.82824593146532,75.39540761479061,75.39540761479061,75.39540761479061,75.46444434368826,75.46444434368826,75.46444434368826,76.4141881503549,76.4141881503549,76.4141881503549,78.57354673354409,78.57354673354409,78.57354673354409,81.77907430329121,81.77907430329121,81.77907430329121,76.50725598105139,76.50725598105139,76.50725598105139,74.80601097369137,74.80601097369137,74.80601097369137,74.78142465826609,74.78142465826609,74.78142465826609
33,77.83671373527586,77.83671373527586,77.83671373527586,82.25254653654336,82.25254653654336,82.25254653654336,79.05668474601568,79.05668474601568,79.05668474601568,77.86478873457588,77.86478873457588,77.86478873457588,80.05817784143802,80.05817784143802,80.05817784143802,74.01304312407318,74.01304312407318,74.01304312407318,76.43237988862512,76.43237988862512,76.43237988862512,78.09497057081646,78.09497057081646,78.09497057081646,78.71002431478183,78.71002431478183,78.71002431478183,76.81265888859096,76.81265888859096,76.81265888859096
34,74.32899673681685,74.32899673681685,74.32899673681685,75.25918838985078,75.25918838985078,75.25918838985078,76.9205101072635,76.9205101072635,76.9205101072635,74.91083632487097,74.91083632487097,74.91083632487097,77.07312911296671,77.07312911296671,77.07312911296671,81.17899364147716,81.17899364147716,81.17899364147716,81.81190948148081,81.81190948148081,81.81190948148081,79.14092337041966,79.14092337041966,79.14092337041966,80.13289540084048,80.13289540084048,80.13289540084048,79.81473034084836,79.81473034084836,79.81473034084836
35,78.49151428702868,78.49151428702868,78.49151428702868,76.2798821345165,76.2798821345165,76.2798821345165,75.17558402472221,75.17558402472221,75.17558402472221,77.79864154268512,77.79864154268512,77.79864154268512,76.72679768666615,76.72679768666615,76.72679768666615,76.68945331118576,76.68945331118576,76.68945331118576,77.8923022851245,77.8923022851245,77.8923022851245,76.68569416708296,76.68569416708296,76.68569416708296,82.67565352391303,82.67565352391303,82.67565352391303,80.98238297481282,80.98238297481282,80.98238297481282
36,75.38178521589802,75.38178521589802,75.38178521589802,77.21712579763766,77.21712579763766,77.21712579763766,72.62463586771656,72.62463586771656,72.62463586771656,74.84008458168368,74.84008458168368,74.84008458168368,77.77329313334525,77.77329313334525,77.77329313334525,76.90970782461996,76.90970782461996,76.90970782461996,77.80049439750178,77.80049439750178,77.80049439750178,81.74644852650776,81.74644852650776,81.74644852650776,76.98636773383633,76.98636773383633,76.98636773383633,79.69651463875813,79.69651463875813,79.69651463875813
37,77.3561393852108,77.3561393852108,77.3561393852108,78.17743235349425,78.17743235349425,78.17743235349425,77.65996158507822,77.65996158507822,77.65996158507822,75.11784697418346,75.11784697418346,75.11784697418346,77.8206889245829,77.8206889245829,77.8206889245829,76.30022015125017,76.30022015125017,76.30022015125017,76.53810897331297,76.53810897331297,76.53810897331297,75.98590571588576,75.98590571588576,75.98590571588576,79.32508606098504,79.32508606098504,79.32508606098504,75.86503900333253,75.86503900333253,75.86503900333253
38,74.75269166144008,74.75269166144008,74.75269166144008,79.67541538756069,79.67541538756069,79.67541538756069,75.96234451534264,75.96234451534264,75.96234451534264,77.19432601244708,77.19432601244708,77.19432601244708,78.0291554880316,78.0291554880316,78.0291554880316,76.5790622551821,76.5790622551821,76.5790622551821,79.92803320724792,79.92803320724792,79.92803320724792,75.84509741673025,75.84509741673025,75.84509741673025,77.34851656450647,77.34851656450647,77.34851656450647,76.12891069579098,76.12891069579098,76.12891069579098
39,79.19591230964195,79.19591230964195,79.19591230964195,76.48544465430811,76.48544465430811,76.48544465430811,73.94169765348039,73.94169765348039,73.94169765348039,78.50013985676833,78.50013985676833,78.50013985676833,76.48559441645088,76.48559441645088,76.48559441645088,75.05864440516129,75.05864440516129,75.05864440516129,79.38730190443152,79.38730190443152,79.38730190443152,78.42848181091475,78.42848181091475,78.42848181091475,78.83642636012041,78.83642636012041,78.83642636012041,77.0497031452992,77.0497031452992,77.0497031452992
