Step,giddy-wind-27 - FID Score,giddy-wind-27 - FID Score__MIN,giddy-wind-27 - FID Score__MAX,spring-frost-26 - FID Score,spring-frost-26 - FID Score__MIN,spring-frost-26 - FID Score__MAX,absurd-sky-25 - FID Score,absurd-sky-25 - FID Score__MIN,absurd-sky-25 - FID Score__MAX,jolly-hill-24 - FID Score,jolly-hill-24 - FID Score__MIN,jolly-hill-24 - FID Score__MAX,blooming-deluge-23 - FID Score,blooming-deluge-23 - FID Score__MIN,blooming-deluge-23 - FID Score__MAX,magic-glade-22 - FID Score,magic-glade-22 - FID Score__MIN,magic-glade-22 - FID Score__MAX,devout-forest-21 - FID Score,devout-forest-21 - FID Score__MIN,devout-forest-21 - FID Score__MAX,clear-brook-20 - FID Score,clear-brook-20 - FID Score__MIN,clear-brook-20 - FID Score__MAX,easy-bird-19 - FID Score,easy-bird-19 - FID Score__MIN,easy-bird-19 - FID Score__MAX,wise-plasma-18 - FID Score,wise-plasma-18 - FID Score__MIN,wise-plasma-18 - FID Score__MAX
30,94.27603592291854,94.27603592291854,94.27603592291854,96.56298042289151,96.56298042289151,96.56298042289151,101.12481121408618,101.12481121408618,101.12481121408618,108.18440324513007,108.18440324513007,108.18440324513007,96.76774234560382,96.76774234560382,96.76774234560382,110.53556105295645,110.53556105295645,110.53556105295645,123.97886377634447,123.97886377634447,123.97886377634447,119.51846314277361,119.51846314277361,119.51846314277361,100.66398825716436,100.66398825716436,100.66398825716436,127.28036497973929,127.28036497973929,127.28036497973929
31,96.45708703362823,96.45708703362823,96.45708703362823,104.32655308354964,104.32655308354964,104.32655308354964,99.78813922369639,99.78813922369639,99.78813922369639,107.95502199403235,107.95502199403235,107.95502199403235,102.25719053599428,102.25719053599428,102.25719053599428,113.2718579814726,113.2718579814726,113.2718579814726,129.7254573289157,129.7254573289157,129.7254573289157,134.10557243342072,134.10557243342072,134.10557243342072,98.39851505930356,98.39851505930356,98.39851505930356,126.39585199868425,126.39585199868425,126.39585199868425
32,99.55953987060559,99.55953987060559,99.55953987060559,98.23016005645867,98.23016005645867,98.23016005645867,102.3694113861471,102.3694113861471,102.3694113861471,108.60824055492665,108.60824055492665,108.60824055492665,95.120230284525,95.120230284525,95.120230284525,101.50632489005885,101.50632489005885,101.50632489005885,130.58098916616163,130.58098916616163,130.58098916616163,118.2269181644757,118.2269181644757,118.2269181644757,97.05059728552268,97.05059728552268,97.05059728552268,121.53941274421514,121.53941274421514,121.53941274421514
33,95.62557189593211,95.62557189593211,95.62557189593211,98.16554938951847,98.16554938951847,98.16554938951847,94.0267321190374,94.0267321190374,94.0267321190374,113.2613363515301,113.2613363515301,113.2613363515301,100.68911812229791,100.68911812229791,100.68911812229791,108.51215674756831,108.51215674756831,108.51215674756831,129.56944447688429,129.56944447688429,129.56944447688429,118.62912990362562,118.62912990362562,118.62912990362562,94.7975751722331,94.7975751722331,94.7975751722331,128.64458000070314,128.64458000070314,128.64458000070314
34,90.61743876343971,90.61743876343971,90.61743876343971,100.58966469995019,100.58966469995019,100.58966469995019,91.1309916916684,91.1309916916684,91.1309916916684,111.77096328532019,111.77096328532019,111.77096328532019,104.16360413307058,104.16360413307058,104.16360413307058,105.32047138455312,105.32047138455312,105.32047138455312,127.6407977378988,127.6407977378988,127.6407977378988,118.41025570331182,118.41025570331182,118.41025570331182,94.33342818463152,94.33342818463152,94.33342818463152,129.14272271928456,129.14272271928456,129.14272271928456
35,95.05806698827341,95.05806698827341,95.05806698827341,101.19148680739407,101.19148680739407,101.19148680739407,101.66491940104228,101.66491940104228,101.66491940104228,112.25853883858039,112.25853883858039,112.25853883858039,96.15281704572065,96.15281704572065,96.15281704572065,109.53892972144965,109.53892972144965,109.53892972144965,126.28514980346748,126.28514980346748,126.28514980346748,130.24897982493144,130.24897982493144,130.24897982493144,97.73395715825957,97.73395715825957,97.73395715825957,115.04728880440076,115.04728880440076,115.04728880440076
36,96.2763513763823,96.2763513763823,96.2763513763823,96.66979935088715,96.66979935088715,96.66979935088715,104.16320163308303,104.16320163308303,104.16320163308303,119.36651796455199,119.36651796455199,119.36651796455199,98.80398019832796,98.80398019832796,98.80398019832796,103.78302639639818,103.78302639639818,103.78302639639818,133.15332938046242,133.15332938046242,133.15332938046242,118.69891687521306,118.69891687521306,118.69891687521306,97.28861479213718,97.28861479213718,97.28861479213718,121.66845033974226,121.66845033974226,121.66845033974226
37,91.28012350563911,91.28012350563911,91.28012350563911,98.08496562886756,98.08496562886756,98.08496562886756,107.30303024191103,107.30303024191103,107.30303024191103,112.76171232362739,112.76171232362739,112.76171232362739,98.5395340555419,98.5395340555419,98.5395340555419,107.29534247855057,107.29534247855057,107.29534247855057,122.3821420483523,122.3821420483523,122.3821420483523,110.77567516610023,110.77567516610023,110.77567516610023,104.22480669483843,104.22480669483843,104.22480669483843,118.7035351544292,118.7035351544292,118.7035351544292
38,92.88077710366376,92.88077710366376,92.88077710366376,97.04520310949613,97.04520310949613,97.04520310949613,93.69054204304321,93.69054204304321,93.69054204304321,108.76781848672366,108.76781848672366,108.76781848672366,104.55160388567226,104.55160388567226,104.55160388567226,101.95475052282654,101.95475052282654,101.95475052282654,136.4147617310569,136.4147617310569,136.4147617310569,109.2238711270029,109.2238711270029,109.2238711270029,97.32986830656851,97.32986830656851,97.32986830656851,137.53979248446254,137.53979248446254,137.53979248446254
39,95.32476561228103,95.32476561228103,95.32476561228103,93.8124314088924,93.8124314088924,93.8124314088924,92.2489743651318,92.2489743651318,92.2489743651318,108.84630373065932,108.84630373065932,108.84630373065932,101.45436072400528,101.45436072400528,101.45436072400528,102.03760500579415,102.03760500579415,102.03760500579415,138.426484395913,138.426484395913,138.426484395913,117.36464502973612,117.36464502973612,117.36464502973612,98.16325287310849,98.16325287310849,98.16325287310849,125.10540514585634,125.10540514585634,125.10540514585634
