Step,spring-planet-92 - FID Score,spring-planet-92 - FID Score__MIN,spring-planet-92 - FID Score__MAX,drawn-deluge-91 - FID Score,drawn-deluge-91 - FID Score__MIN,drawn-deluge-91 - FID Score__MAX,distinctive-snowflake-90 - FID Score,distinctive-snowflake-90 - FID Score__MIN,distinctive-snowflake-90 - FID Score__MAX,crimson-silence-89 - FID Score,crimson-silence-89 - FID Score__MIN,crimson-silence-89 - FID Score__MAX,golden-music-88 - FID Score,golden-music-88 - FID Score__MIN,golden-music-88 - FID Score__MAX,logical-leaf-87 - FID Score,logical-leaf-87 - FID Score__MIN,logical-leaf-87 - FID Score__MAX,dazzling-dew-86 - FID Score,dazzling-dew-86 - FID Score__MIN,dazzling-dew-86 - FID Score__MAX,azure-morning-85 - FID Score,azure-morning-85 - FID Score__MIN,azure-morning-85 - FID Score__MAX,polished-wood-84 - FID Score,polished-wood-84 - FID Score__MIN,polished-wood-84 - FID Score__MAX,efficient-snow-83 - FID Score,efficient-snow-83 - FID Score__MIN,efficient-snow-83 - FID Score__MAX
36,12.65710175594043,12.65710175594043,12.65710175594043,14.187640116048607,14.187640116048607,14.187640116048607,13.305173674340445,13.305173674340445,13.305173674340445,13.383725099053581,13.383725099053581,13.383725099053581,13.635865533356586,13.635865533356586,13.635865533356586,13.961873650395182,13.961873650395182,13.961873650395182,13.101761911699986,13.101761911699986,13.101761911699986,13.572926070323366,13.572926070323366,13.572926070323366,13.712611733932778,13.712611733932778,13.712611733932778,13.391054616799845,13.391054616799845,13.391054616799845
37,13.901578179186656,13.901578179186656,13.901578179186656,13.430252712819016,13.430252712819016,13.430252712819016,13.296534607704448,13.296534607704448,13.296534607704448,12.945972914600278,12.945972914600278,12.945972914600278,13.308832719281025,13.308832719281025,13.308832719281025,12.59827297877029,12.59827297877029,12.59827297877029,12.386382531979919,12.386382531979919,12.386382531979919,13.160412903603516,13.160412903603516,13.160412903603516,12.75771128996753,12.75771128996753,12.75771128996753,13.018897652829057,13.018897652829057,13.018897652829057
38,13.31210110708249,13.31210110708249,13.31210110708249,12.553554685405558,12.553554685405558,12.553554685405558,12.810718271624992,12.810718271624992,12.810718271624992,13.82766199383028,13.82766199383028,13.82766199383028,14.173620309337586,14.173620309337586,14.173620309337586,12.997312771620372,12.997312771620372,12.997312771620372,13.51619955847232,13.51619955847232,13.51619955847232,13.813443901186398,13.813443901186398,13.813443901186398,13.302783752270052,13.302783752270052,13.302783752270052,14.170352781959917,14.170352781959917,14.170352781959917
39,13.53523969977797,13.53523969977797,13.53523969977797,12.976108582079704,12.976108582079704,12.976108582079704,13.809571373765799,13.809571373765799,13.809571373765799,13.610192568351575,13.610192568351575,13.610192568351575,15.387375906967872,15.387375906967872,15.387375906967872,12.883425122660288,12.883425122660288,12.883425122660288,13.232734915204619,13.232734915204619,13.232734915204619,13.71624482132436,13.71624482132436,13.71624482132436,13.605595936142915,13.605595936142915,13.605595936142915,12.114779960512342,12.114779960512342,12.114779960512342
40,12.924008514381008,12.924008514381008,12.924008514381008,15.061574168536156,15.061574168536156,15.061574168536156,13.521398811275326,13.521398811275326,13.521398811275326,12.85509952675189,12.85509952675189,12.85509952675189,13.124828314013222,13.124828314013222,13.124828314013222,12.490135900825658,12.490135900825658,12.490135900825658,12.898143033716263,12.898143033716263,12.898143033716263,15.033891180455267,15.033891180455267,15.033891180455267,14.31590874186403,14.31590874186403,14.31590874186403,13.481057354973862,13.481057354973862,13.481057354973862
41,13.357682537790673,13.357682537790673,13.357682537790673,13.840916642709175,13.840916642709175,13.840916642709175,12.511079621029005,12.511079621029005,12.511079621029005,13.562216337044909,13.562216337044909,13.562216337044909,14.114109427127033,14.114109427127033,14.114109427127033,13.636724507864587,13.636724507864587,13.636724507864587,14.62823068576111,14.62823068576111,14.62823068576111,13.012397100330851,13.012397100330851,13.012397100330851,13.568878993590396,13.568878993590396,13.568878993590396,12.401108045018267,12.401108045018267,12.401108045018267
42,12.929227222670482,12.929227222670482,12.929227222670482,15.065345825740593,15.065345825740593,15.065345825740593,13.034661590951158,13.034661590951158,13.034661590951158,15.302665114043187,15.302665114043187,15.302665114043187,13.703704506049974,13.703704506049974,13.703704506049974,12.944872633313514,12.944872633313514,12.944872633313514,14.293434120615359,14.293434120615359,14.293434120615359,13.067796542034303,13.067796542034303,13.067796542034303,12.132141016659046,12.132141016659046,12.132141016659046,12.894483052731388,12.894483052731388,12.894483052731388
43,13.361648108245166,13.361648108245166,13.361648108245166,13.627060110677638,13.627060110677638,13.627060110677638,13.865089456863831,13.865089456863831,13.865089456863831,13.307260045787139,13.307260045787139,13.307260045787139,12.981075621478674,12.981075621478674,12.981075621478674,11.905295735760845,11.905295735760845,11.905295735760845,12.780235507994695,12.780235507994695,12.780235507994695,14.467892450946918,14.467892450946918,14.467892450946918,13.67306017900706,13.67306017900706,13.67306017900706,13.181416903510993,13.181416903510993,13.181416903510993
44,14.282088164392963,14.282088164392963,14.282088164392963,12.607567375707028,12.607567375707028,12.607567375707028,13.452932040264596,13.452932040264596,13.452932040264596,13.649959337879812,13.649959337879812,13.649959337879812,14.019701867197249,14.019701867197249,14.019701867197249,13.586156672002582,13.586156672002582,13.586156672002582,12.886103451664255,12.886103451664255,12.886103451664255,14.920470130651797,14.920470130651797,14.920470130651797,14.653347963091477,14.653347963091477,14.653347963091477,14.371820204088268,14.371820204088268,14.371820204088268
45,13.247934853714082,13.247934853714082,13.247934853714082,14.505564194493086,14.505564194493086,14.505564194493086,12.681665211425742,12.681665211425742,12.681665211425742,14.645078401048004,14.645078401048004,14.645078401048004,12.686137775432979,12.686137775432979,12.686137775432979,12.650318009345074,12.650318009345074,12.650318009345074,13.787166709070036,13.787166709070036,13.787166709070036,13.996059567833,13.996059567833,13.996059567833,13.629530747631094,13.629530747631094,13.629530747631094,13.735702913622672,13.735702913622672,13.735702913622672
